SAMPLE_ID,BAM
HG002_NA24385_son,bam/HG002_NA24385_son_40X.bam
HG003_NA24149_father,bam/HG003_NA24149_father_40X.bam
HG004_NA24143_mother,bam/HG004_NA24143_mother_40X.bam
