Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I1_5,*,ALL,*,QUAL,*,0.272727,0.6,0.0,0.375,0,0,2924791312,2923745560.000000,0.000000,11,.,.,11.000000,0.000000,,,3,.,.,3.000000,0.000000,,,8,.,.,8.000000,0.000000,,,5,.,.,5.000000,0.000000,,,3,.,.,3.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,PASS,*,QUAL,*,0.272727,0.6,0.0,0.375,0,0,2924791312,2923745560.000000,0.000000,11,.,.,11.000000,0.000000,,,3,.,.,3.000000,0.000000,,,8,.,.,8.000000,0.000000,,,5,.,.,5.000000,0.000000,,,3,.,.,3.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.272727,0.6,0.0,0.375,0,0,2923745560.000000,2923745560.000000,0.000000,11,.,.,11.000000,0.000000,,,3,.,.,3.000000,0.000000,,,8,.,.,8.000000,0.000000,,,5,.,.,5.000000,0.000000,,,3,.,.,3.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.272727,0.6,0.0,0.375,0,0,2923745560.000000,2923745560.000000,0.000000,11,.,.,11.000000,0.000000,,,3,.,.,3.000000,0.000000,,,8,.,.,8.000000,0.000000,,,5,.,.,5.000000,0.000000,,,3,.,.,3.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2924791312,2923745560.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2924791312,2923745560.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2923745560.000000,2923745560.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2923745560.000000,2923745560.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.909091,0.819672,0.0,0.862069,0,0,2924791312,2923745560.000000,0.000000,55,39.000000,16.000000,55.000000,0.000000,2.4375,,50,34.000000,16.000000,50.000000,0.000000,2.125,,5,5.000000,0.000000,5.000000,0.000000,,,61,42.000000,19.000000,61.000000,0.000000,2.21052631579,,50,34.000000,16.000000,50.000000,0.000000,2.125,,11,8.000000,3.000000,11.000000,0.000000,2.66666666667,,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,*,PASS,*,QUAL,*,0.909091,0.833333,0.0,0.869565,0,0,2924791312,2923745560.000000,0.000000,55,39.000000,16.000000,55.000000,0.000000,2.4375,,50,34.000000,16.000000,50.000000,0.000000,2.125,,5,5.000000,0.000000,5.000000,0.000000,,,60,41.000000,19.000000,60.000000,0.000000,2.15789473684,,50,34.000000,16.000000,50.000000,0.000000,2.125,,10,7.000000,3.000000,10.000000,0.000000,2.33333333333,,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,ALL,*,QUAL,*,0.909091,0.819672,0.0,0.862069,0,0,2923745560.000000,2923745560.000000,0.000000,55,39.000000,16.000000,55.000000,0.000000,2.4375,,50,34.000000,16.000000,50.000000,0.000000,2.125,,5,5.000000,0.000000,5.000000,0.000000,,,61,42.000000,19.000000,61.000000,0.000000,2.21052631579,,50,34.000000,16.000000,50.000000,0.000000,2.125,,11,8.000000,3.000000,11.000000,0.000000,2.66666666667,,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.909091,0.833333,0.0,0.869565,0,0,2923745560.000000,2923745560.000000,0.000000,55,39.000000,16.000000,55.000000,0.000000,2.4375,,50,34.000000,16.000000,50.000000,0.000000,2.125,,5,5.000000,0.000000,5.000000,0.000000,,,60,41.000000,19.000000,60.000000,0.000000,2.15789473684,,50,34.000000,16.000000,50.000000,0.000000,2.125,,10,7.000000,3.000000,10.000000,0.000000,2.33333333333,,0,0.000000,0.000000,0.000000,0.000000,,
