Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,18,7,11,21,14,0,0,0,0.388889,0.333333,0.0,0.358974,,,,
INDEL,PASS,18,7,11,21,14,0,0,0,0.388889,0.333333,0.0,0.358974,,,,
SNP,ALL,55,50,5,61,11,0,0,0,0.909091,0.819672,0.0,0.862069,2.4375,2.21052631579,,
SNP,PASS,55,50,5,60,10,0,0,0,0.909091,0.833333,0.0,0.869565,2.4375,2.15789473684,,
