Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,18,10,8,29,19,0,0,0,0.555556,0.344828,0.0,0.425532,,,,
INDEL,PASS,18,10,8,29,19,0,0,0,0.555556,0.344828,0.0,0.425532,,,,
SNP,ALL,80,74,6,87,13,0,0,0,0.925,0.850575,0.0,0.886228,2.07692307692,1.63636363636,,
SNP,PASS,80,74,6,87,13,0,0,0,0.925,0.850575,0.0,0.886228,2.07692307692,1.63636363636,,
