SAMPLEID,FLOWCELL,INDEX,LANE,R1,R2
HG004_NA24143_mother,AHA5R5ADXX,4B1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B1/4B1_CAGATC_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B1/4B1_CAGATC_L001_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4B1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B1/4B1_CAGATC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B1/4B1_CAGATC_L002_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4B2,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L001_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4B2,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4B2/4B2_CCGTCC_L002_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4C1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L001_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4C1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C1/4C1_AGTCAA_L002_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4C2,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L001_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4C2,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4C2/4C2_AGTTCC_L002_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4D1,1,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L001_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L001_R2.fq.gz
HG004_NA24143_mother,AHA5R5ADXX,4D1,2,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L002_R1.fq.gz,./HG004_NA24143_mother/NIST_HiSeq_HG004_Homogeneity-14572558/HG004_HiSeq300x_fastq/140818_D00360_0046_AHA5R5ADXX/Project_RM8392/Sample_4D1/4D1_ATGTCA_L002_R2.fq.gz
