Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,323,188,135,321,0,133,0,0,0.582043,1.0,0.41433,0.735812,,,,
INDEL,PASS,323,188,135,321,0,133,0,0,0.582043,1.0,0.41433,0.735812,,,,
SNP,ALL,1079,890,189,1073,0,183,0,0,0.824838,1.0,0.17055,0.904012,1.96428571429,1.86898395722,,
SNP,PASS,1079,890,189,1073,0,183,0,0,0.824838,1.0,0.17055,0.904012,1.96428571429,1.86898395722,,
