Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,18,7,11,11,4,0,0,0,0.388889,0.636364,0.0,0.482759,,,,
INDEL,PASS,18,7,11,11,4,0,0,0,0.388889,0.636364,0.0,0.482759,,,,
SNP,ALL,55,52,3,58,6,0,3,0,0.945455,0.896552,0.0,0.920354,2.4375,2.41176470588,,18.3333333333
SNP,PASS,55,52,3,58,6,0,3,0,0.945455,0.896552,0.0,0.920354,2.4375,2.41176470588,,18.3333333333
