Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,18,10,8,17,7,0,0,0,0.555556,0.588235,0.0,0.571429,,,,
INDEL,PASS,18,10,8,17,7,0,0,0,0.555556,0.588235,0.0,0.571429,,,,
SNP,ALL,80,70,10,81,11,0,0,0,0.875,0.864198,0.0,0.869565,2.07692307692,1.89285714286,,
SNP,PASS,80,70,10,81,11,0,0,0,0.875,0.864198,0.0,0.869565,2.07692307692,1.89285714286,,
