Sample	sum_pct_a	sum_pct_c	sum_pct_g	sum_pct_t	sum_pct_n	cycle_count	mean_pct_a	mean_pct_c	mean_pct_g	mean_pct_t
SC501095_R1	4476.370297000001	3054.855045	3090.16343	4478.3921230000005	0.21910500000000002	151	29.644836403973517	20.23082811258278	20.464658476821192	29.658225980132453
SC501095_R2	4473.660117999998	3057.625532999999	3092.5306	4476.000136999996	0.18360300000000004	151	29.626888198675484	20.249175715231782	20.480335099337747	29.642385013245008
SC501096_R1	4473.484321999999	3060.9289099999996	3077.9230539999985	4487.401156	0.2625429999999999	151	29.625723986754963	20.271052384105957	20.38359638410595	29.717888450331124
SC501096_R2	4469.492364000001	3064.824211000001	3081.769467999999	4483.618682	0.295274	151	29.599287178807952	20.296849079470206	20.409069324503307	29.692838953642386
SC501105_R1	4473.024182000003	3060.7918879999993	3083.3436160000006	4482.683164	0.157154	151	29.622676701986773	20.27014495364238	20.419494145695367	29.686643470198675
SC501105_R2	4471.329042000001	3062.547025	3084.866279999999	4481.116168000003	0.14148900000000003	151	29.611450609271532	20.28176837748344	20.429578013245024	29.676266013245055
SC501108_R1	4476.079400000001	3056.2373919999995	3088.643442999999	4478.528432000001	0.5113319999999999	151	29.642909933774845	20.239982728476818	20.454592337748338	29.659128688741728
SC501108_R2	4470.636032999997	3061.8281199999988	3093.845760999998	4473.234108999999	0.45597599999999994	151	29.606861145695344	20.277007417218535	20.489044774834426	29.624066947019863
SC501110_R1	4475.499589999997	3057.654331	3080.5436339999987	4486.098868	0.203577	151	29.63907013245031	20.249366430463578	20.40095121854304	29.709264026490068
SC501110_R2	4471.371115000002	3061.818454999999	3084.587509	4482.020879999998	0.20204000000000005	151	29.611729238410607	20.276943410596022	20.427731847682118	29.682257483443696
SC501111_R1	4486.983129999999	3046.111501	3079.876902	4486.586934	0.44152600000000003	151	29.715120066225158	20.172923847682117	20.396535774834437	29.71249625165563
SC501111_R2	4481.889627000001	3051.316167	3084.788484	4481.645434000001	0.3602889999999998	151	29.681388258278155	20.207391834437086	20.42906280794702	29.67977108609272
SD162355_R1	4436.421193	3099.279188000001	3121.150279999998	4441.5581710000015	1.5911629999999994	151	29.380272801324505	20.525027735099343	20.669869403973497	29.41429252317882
SD162355_R2	4432.892458999998	3102.760691	3124.3626390000013	4438.300012000001	1.6842029999999995	151	29.35690370198674	20.548084046357616	20.69114330463577	29.392715311258282
SD162357_R1	4434.264063999999	3102.511555000001	3123.4861640000004	4439.477499000001	0.260725	151	29.36598717880794	20.546434139072854	20.68533883443709	29.400513238410607
SD162357_R2	4429.076115999999	3107.64086	3128.3519249999986	4434.602747999999	0.32834700000000006	151	29.331629907284764	20.580403046357617	20.717562417218534	29.368230119205293
SD162359_R1	4434.410637000002	3099.877237	3111.6667580000008	4452.254578000002	1.7907809999999997	151	29.366957860927165	20.528988324503313	20.60706462251656	29.48512965562915
SD162359_R2	4432.202514999999	3102.2769270000003	3113.859321999997	4450.190728000001	1.4705080000000004	151	29.352334536423836	20.54488031125828	20.621584913907267	29.471461774834445
