# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
109	0.000000	0.000000
129	0.000000	0.000000
137	0.000000	0.000000
140	0.000000	0.000000
151	0.000000	0.000000
156	0.000000	0.000000
164	0.000000	0.000000
166	0.000000	0.000000
168	0.000000	0.000000
175	0.000000	0.000000
176	0.000000	0.000000
179	0.000000	0.000000
180	0.000000	0.000000
184	0.000000	0.000000
187	0.000000	0.000000
189	0.000000	0.000000
190	0.000000	0.000000
194	0.000000	0.000000
195	0.000000	0.000000
196	0.000000	0.000000
199	0.000000	0.000000
204	0.000000	0.000000
206	0.000000	0.000000
211	0.000000	0.000000
213	0.000000	0.000000
215	0.000000	0.000000
216	0.000000	0.000000
217	0.000000	0.000000
219	0.000000	0.000000
220	0.000000	0.000000
221	0.000000	0.000000
223	0.000000	0.000000
226	0.000000	0.000000
228	0.000000	0.000000
229	0.000000	0.000000
231	0.000000	0.000000
232	0.000000	0.000000
233	0.000000	0.000000
234	0.000000	0.000000
237	0.000000	0.000000
238	0.000000	0.000000
240	0.000000	0.000000
241	0.000000	0.000000
242	0.000000	0.000000
245	0.000000	0.000000
246	0.000000	0.000000
247	0.000000	0.000000
248	0.000000	0.000000
249	0.000000	0.000000
250	0.000000	0.000000
251	0.000000	0.000000
252	0.000000	0.000000
255	0.000000	0.000000
256	0.000000	0.000000
258	0.000000	0.000000
260	0.000000	0.000000
263	0.000000	0.000000
264	0.000000	0.000000
265	0.000000	0.000000
268	0.000000	0.000000
270	0.000000	0.000000
284	0.000000	0.000000
291	0.000000	0.000000
294	0.000000	0.000000
304	0.000000	0.000000
308	0.000000	0.000000
336	0.000000	0.000000
355	0.000000	0.000000
