Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,18,12,6,18,6,0,0,0,0.666667,0.666667,0.0,0.666667,,,,
INDEL,PASS,18,12,6,18,6,0,0,0,0.666667,0.666667,0.0,0.666667,,,,
SNP,ALL,80,47,33,55,8,0,0,0,0.5875,0.854545,0.0,0.696296,2.07692307692,2.05555555556,,
SNP,PASS,80,47,33,55,8,0,0,0,0.5875,0.854545,0.0,0.696296,2.07692307692,2.05555555556,,
