Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,323,212,111,371,0,159,0,0,0.656347,1.0,0.428571,0.792523,,,,
INDEL,PASS,323,212,111,371,0,159,0,0,0.656347,1.0,0.428571,0.792523,,,,
SNP,ALL,1079,1012,67,1215,1,202,0,0,0.937905,0.999013,0.166255,0.967495,1.96428571429,1.9347826087,,
SNP,PASS,1079,1012,67,1215,1,202,0,0,0.937905,0.999013,0.166255,0.967495,1.96428571429,1.9347826087,,
