Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,18,11,7,15,4,0,0,0,0.611111,0.733333,0.0,0.666667,,,,
INDEL,PASS,18,11,7,15,4,0,0,0,0.611111,0.733333,0.0,0.666667,,,,
SNP,ALL,55,42,13,46,4,0,2,0,0.763636,0.913043,0.0,0.831683,2.4375,2.06666666667,,22.0
SNP,PASS,55,42,13,46,4,0,2,0,0.763636,0.913043,0.0,0.831683,2.4375,2.06666666667,,22.0
