# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
110	0.000000	0.000000
113	0.000000	0.000000
128	0.000000	0.000000
143	0.000000	0.000000
145	0.000000	0.000000
155	0.000000	0.000000
168	0.000000	0.000000
174	0.000000	0.000000
177	0.000000	0.000000
186	0.000000	0.000000
188	0.000000	0.000000
196	0.000000	0.000000
197	0.000000	0.000000
199	0.000000	0.000000
202	0.000000	0.000000
206	0.000000	0.000000
211	0.000000	0.000000
216	0.000000	0.000000
217	0.000000	0.000000
218	0.000000	0.000000
219	0.000000	0.000000
220	0.000000	0.000000
223	0.000000	0.000000
226	0.000000	0.000000
227	0.000000	0.000000
228	0.000000	0.000000
229	0.000000	0.000000
231	0.000000	0.000000
233	0.000000	0.000000
234	0.000000	0.000000
238	0.000000	0.000000
239	0.000000	0.000000
241	0.000000	0.000000
242	0.000000	0.000000
243	0.000000	0.000000
244	0.000000	0.000000
245	0.000000	0.000000
247	0.000000	0.000000
250	0.000000	0.000000
251	0.000000	0.000000
253	0.000000	0.000000
254	0.000000	0.000000
255	0.000000	0.000000
257	0.000000	0.000000
258	0.000000	0.000000
259	0.000000	0.000000
260	0.000000	0.000000
262	0.000000	0.000000
264	0.000000	0.000000
268	0.000000	0.000000
270	0.000000	0.000000
272	0.000000	0.000000
276	0.000000	0.000000
277	0.000000	0.000000
278	0.000000	0.000000
280	0.000000	0.000000
284	0.000000	0.000000
291	0.000000	0.000000
292	0.000000	0.000000
293	0.000000	0.000000
295	0.000000	0.000000
300	0.000000	0.000000
308	0.000000	0.000000
312	0.000000	0.000000
321	0.000000	0.000000
430	0.000000	0.000000
490	0.000000	0.000000
491	0.000000	0.000000
499	0.000000	0.000000
